Eid,LastName,FirstName,Email,Password,Type,OptionalAttribute
inst1,One,Instructor,,inst1,registered,
inst2,Two,Instructor,,inst2,registered,
inst3,Three,Instructor,,inst3,registered,
inst4,Four,Instructor,,inst4,registered,
inst5,Five,Instructor,,inst5,registered,
inst6,Six,Instructor,,inst5,registered,
stud1,One,Student,,stud1,registered,
stud2,Two,Student,,stud2,registered,
stud3,Three,Student,,stud3,registered,
stud4,Four,Student,,stud4,registered,
stud5,Five,Student,,stud5,registered,
stud6,Six,Student,,stud6,registered,
stud7,Seven,Student,,stud7,registered,
stud8,Eight,Student,,stud8,registered,
stud9,Nine,Student,,stud9,registered,
stud10,Ten,Student,,stud10,registered,
stud11,Eleven,Student,,stud11,registered,
stud12,Twelve,Student,,stud12,registered,
stud13,Thirteen,Student,,stud13,registered,
stud14,Fourteen,Student,,stud14,registered,
stud15,Fifteen,Student,,stud15,registered,
stud16,Sixteen,Student,,stud16,registered,
stud17,Seventeen,Student,,stud17,registered,
stud18,Eighteen,Student,,stud18,registered,
stud19,Nineteen,Student,,stud19,registered,
stud20,Twenty,Student,,stud20,registered,
